Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
1.060597157;364.0;8.0;356.0;97.8021978021978;182.0;4.0;178.0;97.8021978021978
2.989997914;40.0;8.0;32.0;80.0;20.0;4.0;16.0;80.0
1.096213831;318.0;8.0;310.0;97.48427672955975;159.0;4.0;155.0;97.48427672955975
1.617082049;147.0;9.0;138.0;93.87755102040816;73.0;4.0;69.0;94.52054794520548
0.576785267;21.0;9.0;12.0;57.14285714285714;10.0;4.0;6.0;60.0
0.5923176;51.0;9.0;42.0;82.35294117647058;25.0;4.0;21.0;84.0
1.1453787;33.0;9.0;24.0;72.72727272727273;16.0;4.0;12.0;75.0
5.32572151;373.0;9.0;364.0;97.58713136729223;186.0;4.0;182.0;97.84946236559139
3.227171989;29.0;9.0;20.0;68.96551724137932;14.0;4.0;10.0;71.42857142857143
3.546690812;57.0;9.0;48.0;84.21052631578947;28.0;4.0;24.0;85.71428571428571
0.097935745;193.0;9.0;184.0;95.33678756476684;96.0;4.0;92.0;95.83333333333334
0.069127574;41.0;9.0;32.0;78.04878048780488;20.0;4.0;16.0;80.0
0.533897247;27.0;9.0;18.0;66.66666666666666;13.0;4.0;9.0;69.23076923076923
